"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Costa J.E.B.; Barbosa A.S.; Melo M.A.F.; Melo D.M.A.; Medeiros R.L.B.A.; Braga R.M.","Costa, Juliana E.B. (57656768000); Barbosa, Andrey S. (57207996621); Melo, Marcus A.F. (7102354647); Melo, Dulce M.A. (9841064200); Medeiros, Rodolfo L.B.A. (56272344800); Braga, Renata M. (55210068400)","57656768000; 57207996621; 7102354647; 9841064200; 56272344800; 55210068400","Renewable aromatics through catalytic pyrolysis of coconut fiber (Cocos nucífera Linn.) using low cost HZSM-5","2022","Renewable Energy","191","","","439","446","7","13","10.1016/j.renene.2022.03.111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129169099&doi=10.1016%2fj.renene.2022.03.111&partnerID=40&md5=4e1ce32d4ca09d114356b02cd2f0f417","Article","Final","","Scopus","2-s2.0-85129169099"
"Gonçalves A.T.P.; de Araújo M.V.P.; Mól A.L.R.; da Rocha F.A.F.","Gonçalves, Anderson Tiago Peixoto (56404026100); de Araújo, Maria Valéria Pereira (57189687559); Mól, Anderson Luiz Rezende (55638469200); da Rocha, Fabrícia Abrantes Figueiredo (57223197467)","56404026100; 57189687559; 55638469200; 57223197467","Application of the electre tri method for supplier classification in supply chains","2021","Pesquisa Operacional","41","","e229708","","","","8","10.1590/0101-7438.2021.041.00229708","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105184282&doi=10.1590%2f0101-7438.2021.041.00229708&partnerID=40&md5=513756a801b3a7675a60450eb607d622","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85105184282"
"Gomes Souza F., Jr.; Pal K.; Ampah J.D.; Dantas M.C.; Araújo A.; Maranhão F.; Domingues P.","Gomes Souza, Fernando (57226891131); Pal, Kaushik (56210240900); Ampah, Jeffrey Dankwa (57219466221); Dantas, Maria Clara (57952707200); Araújo, Aruzza (57188686655); Maranhão, Fabíola (57225135820); Domingues, Priscila (58102035900)","57226891131; 56210240900; 57219466221; 57952707200; 57188686655; 57225135820; 58102035900","Biofuels and Nanocatalysts: Python Boosting Visualization of Similarities","2023","Materials","16","3","1175","","","","5","10.3390/ma16031175","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148044096&doi=10.3390%2fma16031175&partnerID=40&md5=74a93ca7097fe0a39a18e337367f285b","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85148044096"
"Santos R.C.; Pareyn F.G.C.; Santos C.P.S.; Minini D.; Rocha S.M.G.; Souza F.J.O.; Cezario L.F.C.; Dias Júnior A.F.; Castro R.V.O.","Santos, R.C. (35104836800); Pareyn, F.G.C. (14063822600); Santos, C.P.S. (58386955100); Minini, D. (57209398457); Rocha, S.M.G. (56211048600); Souza, F.J.O. (57841818500); Cezario, L.F.C. (57218585879); Dias Júnior, A.F. (57094157500); Castro, R.V.O. (36642334500)","35104836800; 14063822600; 58386955100; 57209398457; 56211048600; 57841818500; 57218585879; 57094157500; 36642334500","Quantification of Wood Biomass in an Area of Sustainable Annual Production in the Brazilian Semiarid Region Aiming at Generating Renewable Energy","2023","Bioenergy Research","16","2","","817","825","8","0","10.1007/s12155-022-10495-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135816104&doi=10.1007%2fs12155-022-10495-1&partnerID=40&md5=5f75f57ec86d5afc354ced60e669a5e2","Article","Final","","Scopus","2-s2.0-85135816104"
"da Silva G.L.; Hortêncio J.D.S.; Soares J.P.G.D.S.; Lourenço A.D.A.; Raimundo R.A.; De Queiroz R.T.; Macedo D.A.; da Silva F.F.","da Silva, Giovani Luiz (59218118500); Hortêncio, Johnnys da Silva (58687291000); Soares, João Pedro Gonçalves de Souza (59218531500); Lourenço, Annaíres de Almeida (57881072500); Raimundo, Rafael A. (57200143172); De Queiroz, Rubens Teixeira (55512517900); Macedo, Daniel Araújo (36624035900); da Silva, Fausthon Fred (55453907700)","59218118500; 58687291000; 59218531500; 57881072500; 57200143172; 55512517900; 36624035900; 55453907700","Phyto-assisted green synthesis of NiO nanoparticles for OER electrocatalysis","2024","International Journal of Hydrogen Energy","80","","","308","321","13","0","10.1016/j.ijhydene.2024.07.160","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198530105&doi=10.1016%2fj.ijhydene.2024.07.160&partnerID=40&md5=a7ccdb0bad13180621f94a3bb7a5fc82","Article","Final","","Scopus","2-s2.0-85198530105"
"da Costa G.B.; de Fernandes D.D.S.; Véras G.; Diniz P.H.G.D.; Gondim A.D.","da Costa, Gean Bezerra (55193028500); de Fernandes, David Douglas Sousa (58572747600); Véras, Germano (6602560792); Diniz, Paulo Henrique Gonçalves Dias (56025538900); Gondim, Amanda Duarte (6507576352)","55193028500; 58572747600; 6602560792; 56025538900; 6507576352","Combining NIR spectroscopy with DD-SIMCA for authentication and iSPA-PLS-DA for discrimination of ethyl route and oil feedstocks of biodiesels in biodiesel/diesel blends","2024","JAOCS, Journal of the American Oil Chemists' Society","101","2","","187","196","9","1","10.1002/aocs.12744","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170700775&doi=10.1002%2faocs.12744&partnerID=40&md5=2e40e6669d06f65ca10df484aace3eca","Article","Final","","Scopus","2-s2.0-85170700775"
"Viegas M.C.; de Figueredo G.P.; Rodrigues S.F.; Cabral A.A.; Castro M.A.M.; Oliveira M.M.","Viegas, M.C. (58249047400); de Figueredo, G.P. (56850523300); Rodrigues, S.F. (56157225400); Cabral, A.A. (7101609027); Castro, M.A.M. (57191333865); Oliveira, M.M. (47661575000)","58249047400; 56850523300; 56157225400; 7101609027; 57191333865; 47661575000","Synthesis of delafossite CuCrO2 via solution combustion method and its acid functionalization for biodiesel production","2023","Ceramica","69","389","","1","5","4","0","10.1590/0366-69132023693893380","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159270273&doi=10.1590%2f0366-69132023693893380&partnerID=40&md5=e5089195b62166884b2301df20c9218c","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85159270273"
"da Silva J.E.; Melo D.M.A.; Melo M.A.F.; de Aguiar E.M.; Pimenta A.S.; de Medeiros E.P.; Calixto G.Q.; Braga R.M.","da Silva, Janduir Egito (57207816866); Melo, Dulce Maria de Araújo (9841064200); Melo, Marcus Antônio de Freitas (7102354647); de Aguiar, Emerson Moreira (15838853300); Pimenta, Alexandre Santos (56228389300); de Medeiros, Everaldo Paulo (25643197300); Calixto, Guilherme Quintela (56764224400); Braga, Renata Martins (55210068400)","57207816866; 9841064200; 7102354647; 15838853300; 56228389300; 25643197300; 56764224400; 55210068400","Energetic characterization and evaluation of briquettes produced from naturally colored cotton waste","2019","Environmental Science and Pollution Research","26","14","","14259","14265","6","12","10.1007/s11356-019-04777-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062947182&doi=10.1007%2fs11356-019-04777-z&partnerID=40&md5=fae6c6dcc8c1ef78369d72203c870ac3","Article","Final","","Scopus","2-s2.0-85062947182"
"Fontes M.S.B.; Melo D.M.A.; Fontes L.A.O.; Braga R.M.; Costa C.C.; Martinelli A.E.","Fontes, Maria do Socorro B. (55929157700); Melo, Dulce M. A. (9841064200); Fontes, Lúcio A. O. (57205349483); Braga, Renata M. (55210068400); Costa, Cíntia C. (56421294900); Martinelli, Antonio E. (7101638022)","55929157700; 9841064200; 57205349483; 55210068400; 56421294900; 7101638022","Ex situ catalytic biomass pyrolysis using mesoporous Ti-MCM-41","2019","Environmental Science and Pollution Research","26","6","","5983","5989","6","8","10.1007/s11356-018-4003-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059668755&doi=10.1007%2fs11356-018-4003-x&partnerID=40&md5=8269d709b6cc2efcb67858fa5aceb0ab","Article","Final","","Scopus","2-s2.0-85059668755"
"Oliveira J.C.A.; Gonçalves D.V.; Montenegro D.L.; Lucena S.M.P.","Oliveira, José C. A. (58559385900); Gonçalves, Daniel V. (55207463800); Montenegro, Danielle L. (58556965900); Lucena, Sebastião M. P. (10641698500)","58559385900; 55207463800; 58556965900; 10641698500","Predicting hydrogen storage at 298 K in activated carbons","2024","Adsorption","30","5","","403","413","10","0","10.1007/s10450-023-00423-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174313694&doi=10.1007%2fs10450-023-00423-w&partnerID=40&md5=9b237098eb6dbfdac80270b238208d24","Article","Final","","Scopus","2-s2.0-85174313694"
"Ramalho M.S.; Rossetti R.J.F.; Cacho N.; Souza A.","Ramalho, Miguel Sozinho (57217077414); Rossetti, Rosaldo J.F. (8598263800); Cacho, Nélio (17433450200); Souza, Arthur (57158624600)","57217077414; 8598263800; 17433450200; 57158624600","SmartGC: A software architecture for garbage collection in smart cities","2020","International Journal of Bio-Inspired Computation","16","2","","79","93","14","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094640029&partnerID=40&md5=413885f05c1dbac2868fac0348147453","Article","Final","","Scopus","2-s2.0-85094640029"
"Silvaa L.N.; Silvaa A.R.; Silvab M.M.S.; Santosa F.K.G.; Santosa A.G.","Silvaa, Larissa Nogueirae (57224946607); Silvaa, Alexsandro Rochada (57224954264); Silvab, Mait Medeirosde Santanae (57224948255); Santosa, Francisco Klebson Gomesdos (57224951517); Santosa, Andarair Gomesdos (57224953750)","57224946607; 57224954264; 57224948255; 57224951517; 57224953750","Synthesis of NiMoO4 by the complexation method combining EDTA-Citrate and its behavior against biodiesel acidity","2021","Materials Research","24","4","e20200411","","","","1","10.1590/1980-5373-MR-2020-0411","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108680281&doi=10.1590%2f1980-5373-MR-2020-0411&partnerID=40&md5=002fc7597cc1696a4dfce4db069822e3","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85108680281"
"de Sousa Santos C.P.; dos Santos R.C.; de Cássia Oliveira Carneiro A.; Castro A.F.N.M.; Castro R.V.O.; de Lima Costa S.E.; Gomes I.R.F.; Mairinck K.S.","de Sousa Santos, Cynthia Patricia (57216901184); dos Santos, Rosimeire Cavalcante (35104836800); de Cássia Oliveira Carneiro, Angélica (35104562800); Castro, Ana Flávia Neves Mendes (41560907100); Castro, Renato Vinícius Oliveira (36642334500); de Lima Costa, Sarah Esther (57198893641); Gomes, Izabelle Rodrigues Ferreira (57211988636); Mairinck, Krisnara Soares (57216900004)","57216901184; 35104836800; 35104562800; 41560907100; 36642334500; 57198893641; 57211988636; 57216900004","Quality of briquettes produced with Jatropha and Eucalyptus","2020","Floresta e Ambiente","27","2","","1","5","4","2","10.1590/2179-8087.100017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085181718&doi=10.1590%2f2179-8087.100017&partnerID=40&md5=c029de4488d1aacc7c753d95ba67e275","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85085181718"
"de Oliveira G.S.; Lobo C.E.S.; Padilha C.E.A.; Souza D.F.S.; Ruiz J.A.C.","de Oliveira, Giovanny S. (58107194800); Lobo, Ciro E.S. (58403905100); Padilha, Carlos E.A. (57202224296); Souza, Domingos F.S. (55312444500); Ruiz, Juan A.C. (16200237200)","58107194800; 58403905100; 57202224296; 55312444500; 16200237200","Glycerin combustion through chemical looping","2023","Fuel","352","","129038","","","","1","10.1016/j.fuel.2023.129038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163507157&doi=10.1016%2fj.fuel.2023.129038&partnerID=40&md5=60a7b6ba5370ee8b19a2a60d92336e6d","Article","Final","","Scopus","2-s2.0-85163507157"
"Aaen Springborg A.; Albano M.; Xavier-De-Souza S.","Aaen Springborg, Anders (58729173500); Albano, Michele (24490820900); Xavier-De-Souza, Samuel (7801645972)","58729173500; 24490820900; 7801645972","Automatic Energy-Efficient Job Scheduling in HPC: A Novel SLURM Plugin Approach","2023","ACM International Conference Proceeding Series","","","","1831","1838","7","0","10.1145/3624062.3624265","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178154649&doi=10.1145%2f3624062.3624265&partnerID=40&md5=425a0b94a4dff8aca24b326bd9ef98ae","Conference paper","Final","","Scopus","2-s2.0-85178154649"
"Silva K.N.O.; Henrique J.M.M.; Vilar V.J.P.; Martínez-Huitle C.A.; dos Santos E.V.","Silva, Karyn NO (36864507800); Henrique, João MM (53063777400); Vilar, Vítor JP (10540195800); Martínez-Huitle, Carlos A (6507655813); dos Santos, Elisama V (57213395188)","36864507800; 53063777400; 10540195800; 6507655813; 57213395188","Cork-based permeable reactive barriers coupled to electrokinetic processes for interrupting pollutants reaching groundwater: a case study of lead-contaminated soil","2022","Journal of Chemical Technology and Biotechnology","97","10","","2861","2870","9","5","10.1002/jctb.7158","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133542708&doi=10.1002%2fjctb.7158&partnerID=40&md5=1dfb670f80c93a896bcb199e79547647","Article","Final","","Scopus","2-s2.0-85133542708"
"Celino K.N.; Souza E.A.D.; Balaban R.D.C.","Celino, Karoline Nóbrega (57266832300); Souza, Elessandre Alves de (55211084500); Balaban, Rosangela de Carvalho (23090027600)","57266832300; 55211084500; 23090027600","Emulsions of glycerol in olefin: A critical evaluation for application in oil well drilling fluids","2022","Fuel","308","","121959","","","","13","10.1016/j.fuel.2021.121959","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115380418&doi=10.1016%2fj.fuel.2021.121959&partnerID=40&md5=b33628271db0fa70215326644014ac66","Article","Final","","Scopus","2-s2.0-85115380418"
"Campos-Silva J.V.; Peres C.A.; Hawes J.E.; Haugaasen T.; Freitas C.T.; Ladle R.J.; Lopes P.F.M.","Campos-Silva, João V. (57208457270); Peres, Carlos A. (7005085103); Hawes, Joseph E. (23134859100); Haugaasen, Torbjørn (8290336100); Freitas, Carolina T. (57216994191); Ladle, Richard J. (6602999130); Lopes, Priscila F.M. (56468837900)","57208457270; 7005085103; 23134859100; 8290336100; 57216994191; 6602999130; 56468837900","Sustainable-use protected areas catalyze enhanced livelihoods in rural Amazonia","2021","Proceedings of the National Academy of Sciences of the United States of America","118","40","e2105480118","","","","27","10.1073/pnas.2105480118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115908659&doi=10.1073%2fpnas.2105480118&partnerID=40&md5=7b886b5dd9259db9d91e5b5af295457f","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85115908659"
"Campos da Paixão I.; Cardozo J.C.; Sales Monteiro M.K.; Gondim A.D.; Cavalcanti L.N.; Fabiano de Santana Souza D.; Martínez-Huitle C.A.; Vieira dos Santos E.","Campos da Paixão, Izaías (58768987800); Cardozo, Jussara Câmara (57200438665); Sales Monteiro, Mayra Kerolly (57221847506); Gondim, Amanda Duarte (6507576352); Cavalcanti, Lívia Nunes (22133783800); Fabiano de Santana Souza, Domingos (58769272300); Martínez-Huitle, Carlos A. (6507655813); Vieira dos Santos, Elisama (57213395188)","58768987800; 57200438665; 57221847506; 6507576352; 22133783800; 58769272300; 6507655813; 57213395188","A sustainable solar-driven electrochemical process for reforming lignocellulosic biomass effluent into high value-added products: green hydrogen, carboxylic and vanillic acids","2023","RSC Advances","13","50","","35755","35765","10","6","10.1039/d3ra05772k","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180005980&doi=10.1039%2fd3ra05772k&partnerID=40&md5=f062c9f13b6581f5867aebec78eca6f4","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85180005980"
"da Costa G.B.; Fernandes D.D.D.S.; Véras Neto J.G.; Diniz P.H.G.D.; Gondim A.D.","da Costa, Gean Bezerra (55193028500); Fernandes, David Douglas de Sousa (54415480100); Véras Neto, José Germano (6602560792); Diniz, Paulo Henrique Gonçalves Dias (56025538900); Gondim, Amanda Duarte (6507576352)","55193028500; 54415480100; 6602560792; 56025538900; 6507576352","Non-destructive analytical strategies based on NIR spectroscopy for monitoring the quality of biodiesel/diesel blends in terms of the authentication of second-generation biodiesel feedstock using DD-SIMCA and quantification of the biodiesel content using iSPA-PLS","2023","Vibrational Spectroscopy","129","","103585","","","","1","10.1016/j.vibspec.2023.103585","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171348960&doi=10.1016%2fj.vibspec.2023.103585&partnerID=40&md5=600db078ace775932dc0aad7f75305a6","Article","Final","","Scopus","2-s2.0-85171348960"
"Paiva S.C.; Ribeiro R.L.D.A.; Alves D.K.; Costa F.B.; Rocha T.D.O.A.","Paiva, Sâmara Cavalcante (56597645600); Ribeiro, Ricardo Lúcio de Araujo (7202534599); Alves, Denis Keuton (56597608500); Costa, Flávio Bezerra (22333585200); Rocha, Thiago de Oliveira Alves (55570200500)","56597645600; 7202534599; 56597608500; 22333585200; 55570200500","A wavelet-based hybrid islanding detection system applied for distributed generators interconnected to AC microgrids","2020","International Journal of Electrical Power and Energy Systems","121","","106032","","","","58","10.1016/j.ijepes.2020.106032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084093055&doi=10.1016%2fj.ijepes.2020.106032&partnerID=40&md5=45ab0b0ff4c50b7be221d67cd5781c69","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85084093055"
"Sabino T.D.D.M.M.; Nunes U.S.; Marinho G.S.; Freitas J.C.D.O.; Martinelli A.E.; Vieira da Nóbrega A.C.","Sabino, Thalita Dayane de M.M. (59169681200); Nunes, Ueslei S. (59169776200); Marinho, George Santos (35345312200); Freitas, Julio Cezar de Oliveira (36016617500); Martinelli, Antonio Eduardo (7101638022); Vieira da Nóbrega, Ana Cecília (59169493600)","59169681200; 59169776200; 35345312200; 36016617500; 7101638022; 59169493600","Limestone calcined clay cement (LC³) coating mortars as an energy-efficient option for construction","2024","Construction and Building Materials","437","","136954","","","","0","10.1016/j.conbuildmat.2024.136954","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195784838&doi=10.1016%2fj.conbuildmat.2024.136954&partnerID=40&md5=79b9253eea8f946880758f48fa1eda2c","Article","Final","","Scopus","2-s2.0-85195784838"
"de Melo Henrique J.M.; de Andrade D.C.; Barros Neto E.L.; da Silva D.R.; dos Santos E.V.","de Melo Henrique, João Miller (53063777400); de Andrade, Déborah Cordeiro (57204171575); Barros Neto, Eduardo L (57223019715); da Silva, Djalma Ribeiro (8342072100); dos Santos, Elisama Vieira (57213395188)","53063777400; 57204171575; 57223019715; 8342072100; 57213395188","Solar-powered BDD-electrolysis remediation of soil washing fluid spiked with diesel","2019","Journal of Chemical Technology and Biotechnology","94","9","","2999","3006","7","23","10.1002/jctb.6110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068691855&doi=10.1002%2fjctb.6110&partnerID=40&md5=4cdd226fb2e63c7261cc6915baa458aa","Article","Final","","Scopus","2-s2.0-85068691855"
